Image_id,A1_hair(0-3),A2_hair(0-3),A3_hair(0-3),A4_hair(0-3),A5_hair(0-3),A1_penmarks(0-1),A2_penmarks(0-1),A3_penmarks(0-1),A4_penmarks(0-1),A5_penmarks(0-1),"Comments:  Annotator names:   A1 = Andreea, A2 = Shayan,  A3 = Victoria S, A4 = Victoria K, A5 = Wladimir",Average hair,Average pen marks
PAT_14_22_850.png,0,0,0,0,0,0,0,0,0,0,Everyone in the group worked on this file with annotations but it will be uploaded on github by a single person.,0,0
PAT_20_30_44.png,2,2,3,2,2,1,1,1,1,1,You can see the changes made by each person in the Review -> Changes in history,2.2,1
PAT_44_63_151.png,2,2,2,1,1,1,1,1,1,1,,1.6,1
PAT_45_65_551.png,2,2,2,2,2,0,0,0,0,0,,2,0
PAT_49_75_326.png,1,1,1,1,0,0,0,0,0,0,,0.8,0
PAT_93_142_269.png,3,2,2,3,2,1,1,1,1,1,,2.4,1
PAT_96_150_743.png,0,0,1,0,0,0,0,0,0,0,,0.2,0
PAT_112_171_863.png,3,3,3,3,3,1,1,1,1,1,,3,1
PAT_122_869_60.png,0,0,0,0,0,0,0,0,1,0,,0,0.2
PAT_160_248_254.png,3,3,3,3,3,1,1,1,1,1,,3,1
PAT_172_266_950.png,0,0,0,1,0,1,1,1,1,1,,0.2,1
PAT_172_267_557.png,1,2,2,2,0,1,1,1,1,0,,1.4,0.8
PAT_178_276_465.png,0,0,0,0,0,0,0,0,0,0,,0,0
PAT_188_289_859.png,0,1,1,0,0,0,0,0,0,0,,0.4,0
PAT_230_1007_645.png,2,2,2,1,1,0,0,0,0,0,,1.6,0
PAT_235_360_50.png,0,0,0,0,0,0,1,1,1,0,,0,0.6
PAT_265_407_421.png,1,1,2,1,1,0,0,0,0,0,,1.2,0
PAT_274_423_374.png,0,1,1,0,0,0,0,0,0,0,,0.4,0
PAT_277_426_825.png,2,2,3,1,1,1,1,1,1,1,,1.8,1
PAT_299_1455_759.png,0,0,2,0,0,0,0,0,0,0,,0.4,0
PAT_300_647_501.png,0,0,0,0,0,0,0,0,0,0,,0,0
PAT_300_1689_862.png,1,1,3,1,1,1,1,1,1,1,,1.4,1
PAT_311_667_416.png,1,1,1,1,0,0,0,0,0,0,,0.8,0
PAT_316_1457_353.png,2,2,2,2,1,0,0,0,0,0,,1.8,0
PAT_334_703_907.png,1,1,1,1,2,0,0,0,0,0,,1.2,0
PAT_337_706_254.png,0,0,0,0,0,0,0,0,0,0,,0,0
PAT_342_716_845.png,1,1,1,1,1,0,0,0,0,0,,1,0
PAT_345_719_815.png,1,1,1,1,1,0,0,0,0,0,,1,0
PAT_355_732_102.png,1,1,1,1,1,0,1,1,0,0,,1,0.4
PAT_356_735_568.png,2,1,1,2,2,0,0,0,0,0,,1.6,0
PAT_370_2558_573.png,3,3,3,3,3,0,0,0,0,0,,3,0
PAT_380_1540_432.png,2,1,1,0,0,0,0,0,0,0,,0.8,0
PAT_409_2614_805.png,1,1,2,1,0,0,0,0,0,0,,1,0
PAT_413_819_268.png,1,1,1,1,0,0,0,0,0,0,,0.8,0
PAT_416_826_123.png,2,2,2,2,2,0,0,0,0,0,,2,0
PAT_420_834_948.png,3,3,3,3,3,0,0,0,0,0,,3,0
PAT_441_2868_663.png,0,0,0,0,0,0,0,0,0,0,,0,0
PAT_447_873_329.png,0,0,0,0,0,0,0,0,0,0,,0,0
PAT_456_888_961.png,0,0,0,0,0,1,1,1,1,1,,0,1
PAT_457_890_255.png,2,2,2,2,2,1,1,1,1,1,,2,1
PAT_465_901_106.png,0,0,0,0,0,0,0,0,0,0,,0,0
PAT_478_916_806.png,1,1,1,1,0,0,0,0,0,0,,0.8,0
PAT_478_916_979.png,1,1,1,1,0,0,0,0,0,0,,0.8,0
PAT_488_931_321.png,0,0,0,0,0,0,0,0,0,0,,0,0
PAT_492_4723_890.png,1,1,1,1,1,0,0,0,0,0,,1,0
PAT_524_987_738.png,1,1,1,0,0,0,0,0,0,0,,0.6,0
PAT_531_1004_792.png,2,0,2,2,2,0,0,0,0,0,,1.6,0
PAT_570_1085_344.png,1,1,1,1,1,0,0,0,0,0,,1,0
PAT_600_1141_988.png,1,1,1,1,1,0,0,0,0,0,,1,0
PAT_601_1147_943.png,2,2,2,2,2,0,0,0,0,0,,2,0
PAT_605_1152_536.png,2,2,2,2,3,0,0,0,1,0,,2.2,0.2
PAT_616_1169_3.png,1,1,1,1,0,0,0,0,0,0,,0.8,0
PAT_625_1184_412.png,1,1,1,1,1,0,0,0,0,0,,1,0
PAT_645_1300_463.png,0,0,0,0,0,0,0,0,0,0,,0,0
PAT_645_1500_364.png,1,1,1,1,0,0,1,1,0,1,,0.8,0.6
PAT_649_1233_229.png,0,0,0,0,0,0,0,0,0,0,,0,0
PAT_681_1299_458.png,3,2,3,3,3,0,0,0,0,0,,2.8,0
PAT_683_1297_839.png,0,0,0,0,0,0,0,0,0,0,,0,0
PAT_690_1309_217.png,0,0,0,0,0,0,0,0,0,0,,0,0
PAT_698_1150_510.png,0,0,1,0,0,0,0,0,0,0,,0.2,0
PAT_708_1333_222.png,0,0,0,0,0,0,0,0,0,0,,0,0
PAT_715_1339_508.png,0,1,1,1,0,0,0,0,0,0,,0.6,0
PAT_717_1347_899.png,2,2,2,2,1,1,1,1,1,1,,1.8,1
PAT_720_1362_700.png,0,0,0,0,0,0,0,0,0,0,,0,0
PAT_730_1385_585.png,3,3,3,3,3,0,0,0,0,0,,3,0
PAT_756_1496_480.png,1,1,1,1,0,1,1,0,1,1,,0.8,0.8
PAT_781_1474_517.png,0,0,0,0,0,0,0,0,0,0,,0,0
PAT_796_1510_130.png,0,0,0,0,0,0,0,0,0,0,,0,0
PAT_809_1527_202.png,0,0,0,0,0,0,0,0,0,0,,0,0
PAT_830_1565_911.png,1,1,1,1,2,0,0,0,0,0,,1.2,0
PAT_851_1623_506.png,0,0,0,1,0,1,1,1,1,0,,0.2,0.8
PAT_872_1708_841.png,1,1,1,1,0,1,1,1,1,1,,0.8,1
PAT_895_1699_872.png,0,0,0,0,0,0,0,0,0,0,,0,0
PAT_898_1706_496.png,1,1,1,1,1,0,0,0,0,0,,1,0
PAT_917_1735_936.png,0,0,0,0,0,0,0,0,0,0,,0,0
PAT_931_1762_69.png,0,1,1,0,0,1,1,1,1,1,,0.4,1
PAT_935_1781_920.png,0,0,0,0,0,0,0,0,0,0,,0,0
PAT_959_1813_1000.png,0,0,1,0,0,0,0,0,0,0,,0.2,0
PAT_963_1819_298.png,0,0,0,0,0,0,0,0,0,0,,0,0
PAT_968_1835_721.png,1,1,1,1,2,0,0,0,0,0,,1.2,0
PAT_971_1847_99.png,0,0,0,0,0,0,0,0,0,0,,0,0
PAT_976_1837_861.png,3,3,3,3,3,0,0,0,0,0,,3,0
PAT_980_1849_295.png,1,1,1,1,1,0,0,0,0,0,,1,0
PAT_995_1867_5.png,0,0,0,0,0,0,0,0,0,0,,0,0
PAT_996_6_886.png,0,0,0,0,0,0,1,0,1,0,,0,0.4
PAT_1042_187_746.png,2,2,2,2,2,0,0,0,0,0,,2,0
PAT_1102_408_613.png,1,1,0,1,1,1,1,1,1,1,,0.8,1
PAT_1139_523_682.png,3,3,3,3,3,1,1,0,1,1,,3,0.8
PAT_1161_578_233.png,0,0,0,0,0,0,0,0,0,0,,0,0
PAT_1215_752_707.png,3,3,3,3,3,0,0,0,0,0,,3,0
PAT_1315_1110_317.png,3,3,3,3,2,0,0,0,0,0,,2.8,0
PAT_1324_1145_309.png,3,3,3,3,2,1,1,1,1,1,,2.8,1
PAT_1349_1229_828.png,0,0,0,0,0,0,0,0,0,0,,0,0
PAT_1350_1230_878.png,1,1,1,1,0,1,1,1,1,1,,0.8,1
PAT_1371_1276_145.png,0,0,0,1,0,1,1,1,1,1,,0.2,1
PAT_1393_1356_371.png,0,0,0,1,0,0,0,0,0,0,,0.2,0
PAT_1407_1402_347.png,2,2,2,2,3,0,0,0,0,0,,2.2,0
PAT_1407_1402_500.png,3,3,3,3,3,0,0,0,0,0,,3,0
PAT_1411_1415_723.png,0,0,0,0,0,0,0,0,0,0,,0,0
PAT_1420_1460_951.png,1,1,1,1,1,0,0,0,0,0,,1,0
PAT_1546_1872_824.png,0,0,0,0,0,1,1,1,1,1,,0,1
PAT_1631_2837_667.png,0,0,0,0,0,0,0,0,0,0,,0,0
PAT_1636_2869_739.png,2,2,2,2,2,0,0,0,0,0,,2,0
PAT_1680_3038_587.png,0,0,0,0,0,0,0,0,0,0,,0,0
PAT_1762_3332_245.png,1,1,1,1,0,1,1,1,1,1,,0.8,1
PAT_1800_3460_206.png,3,3,3,3,3,0,0,0,0,0,,3,0
PAT_1801_3459_857.png,1,1,1,2,1,0,0,0,0,0,,1.2,0
PAT_1881_3711_217.png,0,0,0,0,0,0,0,0,0,0,,0,0
PAT_1937_3897_131.png,3,2,3,3,2,1,1,1,1,1,,2.6,1
PAT_1978_4004_82.png,0,0,0,0,0,0,0,0,0,0,,0,0
PAT_2011_4140_787.png,2,2,3,2,2,1,1,1,1,1,,2.2,1
PAT_2043_4308_681.png,0,0,0,0,0,1,1,1,1,1,,0,1
PAT_2046_4323_394.png,3,3,3,3,3,0,0,0,0,0,,3,0
PAT_2071_4433_848.png,3,3,3,3,3,0,0,0,0,0,,3,0
PAT_2077_4463_77.png,0,0,0,0,0,1,1,1,1,1,,0,1
PAT_2115_4613_260.png,2,2,2,2,1,1,1,1,1,1,,1.8,1
PAT_2125_4653_497.png,2,2,2,2,2,0,0,0,0,0,,2,0
,,,,,,,,,,,TOTAL AVERAGES:,1.03,0.25
